id,title,subtitle,metadata
1946,Managing a Federated Data Product Ecosystem,"As Data Mesh matures, enterprises are struggling to manage…","{'title': 'Managing a Federated Data Product Ecosystem As Data Mesh matures, enterprises are struggling to\xa0manage…'}"
1947,Beginner’s Guide to Linear Regression with PySpark,A step-by-step tutorial on building a linear…,{'title': 'Beginner’s Guide to Linear Regression with\xa0PySpark A step-by-step tutorial on building a\xa0linear…'}
1948,"How to Do Language Detection Using Python, NLTK, and Some Easy Statistics",A practical introduction to a technology you use every day.,"{'title': 'How to Do Language Detection Using Python, NLTK, and Some Easy Statistics A practical introduction to a technology you use every\xa0day.'}"
1949,Deterministic vs. Probabilistic Deep Learning,Probabilistic Deep Learning,{'title': 'Deterministic vs. Probabilistic Deep\xa0Learning Probabilistic Deep\xa0Learning'}
1950,How to Make a Spider Chart in R Using ggplot2,A step-by-step construction of a spider/radar chart,{'title': 'How to Make a Spider Chart in R Using\xa0ggplot2 A step-by-step construction of a spider/radar chart'}
1951,"<strong class=""markup--strong markup--h3-strong"">Machine Learning Does Not Only Predict the Future, It Actively Creates It</strong>",A primer on position bias…,"{'title': '<strong class=""markup--strong markup--h3-strong"">Machine Learning Does Not Only Predict the Future, It Actively Creates\xa0It</strong> A primer on position\xa0bias…'}"
1952,What I learned after running AB tests for one year as a data scientist — Part 2/2,A real-world case…,{'title': 'What I learned after running AB tests for one year as a data scientist\u200a—\u200aPart\xa02/2 A real-world case…'}
1953,How to Get the Most Out of Your Quantum Bit,There’s more in a qubit than 0 and 1,{'title': 'How to Get the Most Out of Your Quantum\xa0Bit There’s more in a qubit than 0 and\xa01'}
1954,Watch Out For Your Beam Search Hyperparameters,The default values are never the best,{'title': 'Watch Out For Your Beam Search Hyperparameters The default values are never the\xa0best'}
1955,Develop Your Own Spelling Check Toolkit with Python,Creating an application to verify your spellings…,{'title': 'Develop Your Own Spelling Check Toolkit with\xa0Python Creating an application to verify your spellings…'}
1956,Reflecting Back on a Decade of Practicing Data Science,"Journey, thoughts & interests, and a possible future","{'title': 'Reflecting Back on a Decade of Practicing Data\xa0Science Journey, thoughts & interests, and a possible\xa0future'}"
1957,"Prototyping in Figma: Work smarter, not harder",,"{'title': 'Prototyping in Figma: Work smarter, not\xa0harder nan'}"
1958,Design bootcamps are a scam,Every year thousands of students fall prey to the design bootcamp…,{'title': 'Design bootcamps are a\xa0scam Every year thousands of students fall prey to the design bootcamp…'}
1959,UX Cheat Sheet: Common sign-up patterns,,{'title': 'UX Cheat Sheet: Common sign-up\xa0patterns nan'}
1960,"User stories, not requirements: why UX needs to be at Agile backlogs",Keeping user stories…,"{'title': 'User stories, not requirements: why UX needs to be at Agile\xa0backlogs Keeping user\xa0stories…'}"
1961,"To Make More Money in 2023, Stop These 15 Bad Money Habits",Pensions and salaries are fixed incomes…,"{'title': 'To Make More Money in 2023, Stop These 15 Bad Money\xa0Habits Pensions and salaries are fixed\xa0incomes…'}"
1962,"If You’re Making this Common Mistake With Your Money, Forget About Becoming Rich",Wealth is not only…,"{'title': 'If You’re Making this Common Mistake With Your Money, Forget About Becoming\xa0Rich Wealth is not\xa0only…'}"
1963,"Don’t Fight Over Existing Demand, Create Net-New Demand",,"{'title': 'Don’t Fight Over Existing Demand, Create Net-New\xa0Demand nan'}"
1964,How This Indian Creator 50Xed His Following In One Month,Doing what nobody else is pays off,{'title': 'How This Indian Creator 50Xed His Following In One\xa0Month Doing what nobody else is pays\xa0off'}
1965,The Google’s New “Experience” Algorithm Every Content Writer Should Know About,,{'title': 'The Google’s New “Experience” Algorithm Every Content Writer Should Know\xa0About nan'}
1966,6 Reasons Most Side-Hustles Fail in a Year,1. You don’t have a business model,{'title': '6 Reasons Most Side-Hustles Fail in a\xa0Year 1. You don’t have a business\xa0model'}
1967,How to Write a Good Lead: 9 Winning Formulas,"Once you “find the lead”, your story will click into…","{'title': 'How to Write a Good Lead: 9 Winning\xa0Formulas Once you “find the lead”, your story will click\xa0into…'}"
1968,Timeline for Self-Publishing a Short Story Collection,,{'title': 'Timeline for Self-Publishing a Short Story Collection nan'}
1969,Make Yourself the Most Popular Writer — Don’t Make These Mistakes,Avoid this common pitfall as you…,{'title': 'Make Yourself the Most Popular Writer\u200a—\u200aDon’t Make These\xa0Mistakes Avoid this common pitfall as\xa0you…'}
1970,Write Now With Daniel Vitale,"Today’s Write Now interview features Daniel Vitale, hockey goalie coach…","{'title': 'Write Now With Daniel\xa0Vitale Today’s Write Now interview features Daniel Vitale, hockey goalie\xa0coach…'}"
1971,3 Ingredients Your Writing Is Missing,Authenticity. Vulnerability. Clarity.,{'title': '3 Ingredients Your Writing Is\xa0Missing Authenticity. Vulnerability. Clarity.'}
1972,How to Find the Best Theoretical Distribution for Your Data,Knowing the underlying data distribution…,{'title': 'How to Find the Best Theoretical Distribution for Your\xa0Data Knowing the underlying data distribution…'}
1973,Are You Still Using the Elbow Method?,The Elbow method is the most popular way to find the number of clusters for k-means. But there are much better alternatives,{'title': 'Are You Still Using the Elbow\xa0Method? The Elbow method is the most popular way to find the number of clusters for k-means. But there are much better alternatives'}
1974,Understanding Causal Trees,"<em class=""markup--em markup--h4-em"">How to use regression trees to estimate</em>","{'title': 'Understanding Causal\xa0Trees <em class=""markup--em markup--h4-em"">How to use regression trees to estimate</em>'}"
1975,"Dear Data Scientist, Be Organized!",A quick guide to improve your organizational skills and…,"{'title': 'Dear Data Scientist, Be Organized! A quick guide to improve your organizational skills\xa0and…'}"
1976,"Back To Basics, Part Uno: Linear Regression and Cost Function",An illustrated guide on essential…,"{'title': 'Back To Basics, Part Uno: Linear Regression and Cost\xa0Function An illustrated guide on essential…'}"
1977,Two First Serves: Analyzing ATP Service Data from 2000–2020,Which players on the tour should get rid…,{'title': 'Two First Serves: Analyzing ATP Service Data from 2000–2020 Which players on the tour should get\xa0rid…'}
1978,Fine-Tuning Sentence Transformers with MNR Loss,,{'title': 'Fine-Tuning Sentence Transformers with MNR\xa0Loss nan'}
1979,These 7 Programming Habits Are Making You a Less Productive Data Scientist,Fixing these habits can…,{'title': 'These 7 Programming Habits Are Making You a Less Productive Data Scientist Fixing these habits\xa0can…'}
1980,How Prejudice Creeps into AI Systems,Where do AI biases actually originate from?,{'title': 'How Prejudice Creeps into AI\xa0Systems Where do AI biases actually originate from?'}
1981,Uncovering the Pioneering Journey of Word2Vec and the State of AI science — an in-depth interview,,{'title': 'Uncovering the Pioneering Journey of Word2Vec and the State of AI science\u200a—\u200aan in-depth interview nan'}
1982,Building a LAS File Data Explorer App with Streamlit,Exploring Log ASCII Standard files using Python…,{'title': 'Building a LAS File Data Explorer App with Streamlit Exploring Log ASCII Standard files using\xa0Python…'}
1983,"<strong class=""markup--strong markup--h3-strong"">How to survive the data explosion when adopting a modern data stack</strong>",Sifting through the data from…,"{'title': '<strong class=""markup--strong markup--h3-strong"">How to survive the data explosion when adopting a modern data\xa0stack</strong> Sifting through the data\xa0from…'}"
1984,Four Steps to Remove Analytics Waste,Accelerate Decision Making by Removing Analytics Waste,{'title': 'Four Steps to Remove Analytics Waste Accelerate Decision Making by Removing Analytics Waste'}
1985,The strategy house: how to define a design team’s mission,,{'title': 'The strategy house: how to define a design team’s\xa0mission nan'}
1986,10 Chrome Extensions to 10x Your Productivity,Google Chrome extensions for people who want to get…,{'title': '10 Chrome Extensions to 10x Your Productivity Google Chrome extensions for people who want to\xa0get…'}
1987,The 6 Undeniable Truths Of Writing on the Internet,The way to play long enough to be heard,{'title': 'The 6 Undeniable Truths Of Writing on the\xa0Internet The way to play long enough to be\xa0heard'}
1988,Did You Know You Have To Be Successful *Before* You Get Support?,"And yes, that doesn’t seem right to…","{'title': 'Did You Know You Have To Be Successful *Before* You Get\xa0Support? And yes, that doesn’t seem right\xa0to…'}"
1989,3 Crucial Questions You Can’t Afford to Not Ask Yourself as a Startup,"From time to time, sit back and…","{'title': '3 Crucial Questions You Can’t Afford to Not Ask Yourself as a\xa0Startup From time to time, sit back\xa0and…'}"
1990,How Your Willingness to Fail Determines Your Success in the Freelancing World,What I've learned after…,"{'title': ""How Your Willingness to Fail Determines Your Success in the Freelancing World What I've learned\xa0after…""}"
1991,The Danger of Pretend Work: How to Identify and Stop Wasting Time,Kill your distractors. It’s extreme…,{'title': 'The Danger of Pretend Work: How to Identify and Stop Wasting\xa0Time Kill your distractors. It’s\xa0extreme…'}
1992,Sharpen Your Fiction by Learning from AI’s Biggest Mistakes,You have something AI doesn’t: you,{'title': 'Sharpen Your Fiction by Learning from AI’s Biggest\xa0Mistakes You have something AI doesn’t:\xa0you'}
1993,Help! My Protagonist Is Just Like Me!,The self can be an excellent muse in moderation,{'title': 'Help! My Protagonist Is Just Like\xa0Me! The self can be an excellent muse in moderation'}
1994,How to Fall in Love with Editing and Stop Sabotaging Your Writing Success,Polishing your draft doesn’t…,{'title': 'How to Fall in Love with Editing and Stop Sabotaging Your Writing\xa0Success Polishing your draft\xa0doesn’t…'}
1995,Promote Your Book (or Project) for Free in Your Local Paper or Blog,DIY marketing for independent…,{'title': 'Promote Your Book (or Project) for Free in Your Local Paper or\xa0Blog DIY marketing for independent…'}
1996,Using ChatGPT as a Creative Writing Partner — Part 1: Prose,"How the latest language model from OpenAI can help write poetry, fiction, and screenplays","{'title': 'Using ChatGPT as a Creative Writing Partner\u200a—\u200aPart 1:\xa0Prose How the latest language model from OpenAI can help write poetry, fiction, and screenplays'}"
1997,10 Simple Things You Can Do to Improve Your Data Science Skills in 2023,Here’s to making this next…,{'title': '10 Simple Things You Can Do to Improve Your Data Science Skills in\xa02023 Here’s to making this\xa0next…'}
1998,What does Entropy Measure? An Intuitive Explanation,,{'title': 'What does Entropy Measure? An Intuitive Explanation nan'}
1999,A Beginner-Friendly Introduction to MLOps,A first step to MLOps,{'title': 'A Beginner-Friendly Introduction to\xa0MLOps A first step to\xa0MLOps'}
2000,What to Expect in Python 3.12,"New features, updates and removals in the upcoming Python 3.12 release","{'title': 'What to Expect in Python\xa03.12 New features, updates and removals in the upcoming Python 3.12\xa0release'}"
2001,"Naive Bayes Classifier from Scratch, with Python",From theory to practice with Bayes Theorem,"{'title': 'Naive Bayes Classifier from Scratch, with\xa0Python From theory to practice with Bayes\xa0Theorem'}"
2002,Statistics Bootcamp 8: A Tale of Two Means,Learn the math and…,{'title': 'Statistics Bootcamp 8: A Tale of Two\xa0Means Learn the math\xa0and…'}
2003,It’s a Mistake to Trust the Best Model of a GridSearchCV,Explained through four examples where the…,{'title': 'It’s a Mistake to Trust the Best Model of a GridSearchCV Explained through four examples where\xa0the…'}
2004,Build Trail Recommender for TrailForks,How I won the Outside 2022 Innovation Days Award,{'title': 'Build Trail Recommender for TrailForks How I won the Outside 2022 Innovation Days\xa0Award'}
2005,First Steps in Machine Learning with Apache Spark,Basic concepts and topics of Spark MLlib package,{'title': 'First Steps in Machine Learning with Apache\xa0Spark Basic concepts and topics of Spark MLlib\xa0package'}
2006,"<strong class=""markup--strong markup--h3-strong"">Solving The Class Imbalance Problem</strong>",Class imbalance is a common issue where the distribution of…,"{'title': '<strong class=""markup--strong markup--h3-strong"">Solving The Class Imbalance Problem</strong> Class imbalance is a common issue where the distribution of…'}"
2007,"Introducing PyDicom, Its Classes, Methods, and Attributes",PyDicom…Beyond Pixel Data,"{'title': 'Introducing PyDicom, Its Classes, Methods, and Attributes PyDicom…Beyond Pixel\xa0Data'}"
2008,Automate Soil Profile in PLAXIS Using Python,,{'title': 'Automate Soil Profile in PLAXIS Using\xa0Python nan'}
2009,Identifying New and Returning Customers in BigQuery using SQL,To better understand your customer's…,"{'title': ""Identifying New and Returning Customers in BigQuery using\xa0SQL To better understand your customer's…""}"
2010,What is Process Mining?,,{'title': 'What is Process\xa0Mining? nan'}
2011,Lazy Evaluation Using Recursive Python Generators,Can recursive functions use ,{'title': 'Lazy Evaluation Using Recursive Python Generators Can recursive functions use'}
2012,Python OOP Tutorial: How to Create Classes and Objects,An easy guide to using classes and objects in…,{'title': 'Python OOP Tutorial: How to Create Classes and\xa0Objects An easy guide to using classes and objects\xa0in…'}
2013,How To Install Traefik Ingress Controller In Kubernetes,"Provide load balancing, name-based virtual…","{'title': 'How To Install Traefik Ingress Controller In Kubernetes Provide load balancing, name-based virtual…'}"
2014,January Edition: Becoming Better Learners,Start your 2023 data science…,{'title': 'January Edition: Becoming Better\xa0Learners Start your 2023 data\xa0science…'}
2015,"Bike-Sharing System Movements to the Metallica Concert in Tartu, Estonia",GPS tracking visualization…,"{'title': 'Bike-Sharing System Movements to the Metallica Concert in Tartu,\xa0Estonia GPS tracking visualization…'}"
2016,Dealing with Dates in Python’s DataFrame Part 2— The Basics,,{'title': 'Dealing with Dates in Python’s DataFrame Part 2— The\xa0Basics nan'}
2017,How to Securely Connect Synapse Pipelines to Azure Functions,Learn to use Synapse exfiltration…,{'title': 'How to Securely Connect Synapse Pipelines to Azure Functions Learn to use Synapse exfiltration…'}
2018,Validate Balanced Parenthesis using SQL,Check the well-formed-ness of a string containing open and…,{'title': 'Validate Balanced Parenthesis using\xa0SQL Check the well-formed-ness of a string containing open\xa0and…'}
2019,Dealing with Dates in Python’s DataFrame Part 1 — Date Series Creation,,{'title': 'Dealing with Dates in Python’s DataFrame Part 1\u200a—\u200aDate Series\xa0Creation nan'}
2020,"<strong class=""markup--strong markup--h3-strong"">ML Basics (Part-4): Decision Trees</strong>","<strong class=""markup--strong markup--h4-strong"">What are Decision Trees, How to Build and Apply Decision Trees for</strong>","{'title': '<strong class=""markup--strong markup--h3-strong"">ML Basics (Part-4): Decision\xa0Trees</strong> <strong class=""markup--strong markup--h4-strong"">What are Decision Trees, How to Build and Apply Decision Trees\xa0for</strong>'}"
2021,"<strong class=""markup--strong markup--h3-strong"">Optimizing Browsing A Taxonomy</strong>","<strong class=""markup--strong markup--h4-strong"">Problems, models, and implementation issues</strong>","{'title': '<strong class=""markup--strong markup--h3-strong"">Optimizing Browsing A\xa0Taxonomy</strong> <strong class=""markup--strong markup--h4-strong"">Problems, models, and implementation issues</strong>'}"
2022,Creating tokens for your design system with ChatGPT assistance,Build and maintain design tokens faster…,{'title': 'Creating tokens for your design system with ChatGPT assistance Build and maintain design tokens\xa0faster…'}
2023,How to avoid the danger of designing based on expired requirements,Design artifacts eventually need…,{'title': 'How to avoid the danger of designing based on expired requirements Design artifacts eventually need…'}
2024,"Mo handoffs, mo problems","The first of a two-part interview with UX designer Shamsi Brinn, creator of…","{'title': 'Mo handoffs, mo\xa0problems The first of a two-part interview with UX designer Shamsi Brinn, creator\xa0of…'}"
2025,7 Ways to Use Chat GPT (Ethically) in Your Day-to-Day,,{'title': '7 Ways to Use Chat GPT (Ethically) in Your Day-to-Day nan'}
2026,Here’s How to Join the “New Rich” and Experience Personal Freedom,And the #1 driver of growth for…,{'title': 'Here’s How to Join the “New Rich” and Experience Personal\xa0Freedom And the #1 driver of growth\xa0for…'}
2027,7 Realistic Micro Habits That Will Totally Change Your Life In A Year,Going small has big benefits.,{'title': '7 Realistic Micro Habits That Will Totally Change Your Life In A\xa0Year Going small has big benefits.'}
2028,5 Money Beliefs Holding You Back,And stifling your financial growth,{'title': '5 Money Beliefs Holding You\xa0Back And stifling your financial growth'}
2029,How To Digest Books Above Your “Level” and Improve Your Intelligence,Don’t let me stop you.,{'title': 'How To Digest Books Above Your “Level” and Improve Your Intelligence Don’t let me stop\xa0you.'}
2030,Navigating the Ethical Contours of AI Copy Generators Like ChatGPT,Be prepared to cite the AI…,{'title': 'Navigating the Ethical Contours of AI Copy Generators Like\xa0ChatGPT Be prepared to cite the\xa0AI…'}
2031,Self-Publishing: Three Things You Can’t Do By Yourself,,{'title': 'Self-Publishing: Three Things You Can’t Do By\xa0Yourself nan'}
2032,Typesetting for the Self-Published,Make your print look as professional as your writing,{'title': 'Typesetting for the Self-Published Make your print look as professional as your\xa0writing'}
2033,Technical Blogging in Danger: Responsible Writers Wanted!,"<em class=""markup--em markup--h4-em"">Technical writing carries much</em>","{'title': 'Technical Blogging in Danger: Responsible Writers\xa0Wanted! <em class=""markup--em markup--h4-em"">Technical writing carries\xa0much</em>'}"
2034,"To Niche or Not to Niche, That Is the Question","Some writers suggest searching for a niche, while…","{'title': 'To Niche or Not to Niche, That Is the\xa0Question Some writers suggest searching for a niche,\xa0while…'}"
2035,Write Now With Yona Zeldis McDonough,"Today’s Write Now interview features Yona Zeldis McDonough, an…","{'title': 'Write Now With Yona Zeldis McDonough Today’s Write Now interview features Yona Zeldis McDonough, an…'}"
2036,Easily Validate User-Generated Data Using Pydantic,How to us Pydantic to validate Excel data,{'title': 'Easily Validate User-Generated Data Using\xa0Pydantic How to us Pydantic to validate Excel\xa0data'}
2037,Use Delta Lake as the Master Data Management (MDM) Source for Downstream Applications,,{'title': 'Use Delta Lake as the Master Data Management (MDM) Source for Downstream Applications nan'}
2038,"<strong class=""markup--strong markup--h3-strong"">Why Convolve? Understanding Convolution and Feature Extraction in Deep Networks</strong>","<strong class=""markup--strong markup--h4-strong"">An Explanation of 1D/2D Convolution, its Role in Feature Learning, and a Visualization Tool</strong>","{'title': '<strong class=""markup--strong markup--h3-strong"">Why Convolve? Understanding Convolution and Feature Extraction in Deep\xa0Networks</strong> <strong class=""markup--strong markup--h4-strong"">An Explanation of 1D/2D Convolution, its Role in Feature Learning, and a Visualization Tool</strong>'}"
2039,The Achilles Heel of Scatter Plots,Visualizing large datasets with hidden trends using an alternative…,{'title': 'The Achilles Heel of Scatter\xa0Plots Visualizing large datasets with hidden trends using an alternative…'}
2040,A Quick Start to Connecting to PostgreSQL and Pulling Data into Pandas,Get you on your way to data…,{'title': 'A Quick Start to Connecting to PostgreSQL and Pulling Data into\xa0Pandas Get you on your way to\xa0data…'}
2041,The three roles you need for an impactful UX research,Balance the roles of knowledge Creator…,{'title': 'The three roles you need for an impactful UX\xa0research Balance the roles of knowledge Creator…'}
2042,Setting boundaries between design and research,Thoughts on over-investing in research and designing…,{'title': 'Setting boundaries between design and\xa0research Thoughts on over-investing in research and designing…'}
2043,"7 Super Simple Writing Side Hustles — How I Make $5,250+/Month",,"{'title': '7 Super Simple Writing Side Hustles\u200a—\u200aHow I Make $5,250+/Month nan'}"
2044,ChatGPT: How It Will Shake Up SEO As We Know It,,{'title': 'ChatGPT: How It Will Shake Up SEO As We Know\xa0It nan'}
2045,Maximizing Your Potential: The Guide to Future-Proofing Your Tech Skills,Transform your tech skills…,{'title': 'Maximizing Your Potential: The Guide to Future-Proofing Your Tech\xa0Skills Transform your tech\xa0skills…'}
2046,4 Advice of Freelance Gurus You May Not Want to Follow as a Beginner,Freelancing is about something…,{'title': '4 Advice of Freelance Gurus You May Not Want to Follow as a\xa0Beginner Freelancing is about something…'}
2047,The Antidote to Writer’s Block,No alchemy required,{'title': 'The Antidote to Writer’s\xa0Block No alchemy\xa0required'}
2048,The Duality of Certain Indefinite Pronouns Defined,And when to use…,{'title': 'The Duality of Certain Indefinite Pronouns\xa0Defined And when to\xa0use…'}
2049,Your Muse Is Not Coming,You are Your Own Muse,{'title': 'Your Muse Is Not\xa0Coming You are Your Own\xa0Muse'}
2050,The Myth of the “Copywriter’s Voice”: Why You Don’t Need One,You need to create a thousand voices,{'title': 'The Myth of the “Copywriter’s Voice”: Why You Don’t Need\xa0One You need to create a thousand\xa0voices'}
2051,Mastering the Art of Regression Analysis: 5 Key Metrics Every Data Scientist Should Know,,{'title': 'Mastering the Art of Regression Analysis: 5 Key Metrics Every Data Scientist Should\xa0Know nan'}
2052,Data Platform Architecture Types,How well does it answer your business needs? Dilemma of a choice.,{'title': 'Data Platform Architecture Types How well does it answer your business needs? Dilemma of a\xa0choice.'}
2053,Implementing the Steepest Descent Algorithm in Python from Scratch,,{'title': 'Implementing the Steepest Descent Algorithm in Python from\xa0Scratch nan'}
2054,From Causal Trees to Forests,"<em class=""markup--em markup--h4-em"">How to use random forests to do policy</em>","{'title': 'From Causal Trees to\xa0Forests <em class=""markup--em markup--h4-em"">How to use random forests to do\xa0policy</em>'}"
2055,Monitoring NLP models in production,A code tutorial on detecting drift in text data,{'title': 'Monitoring NLP models in production A code tutorial on detecting drift in text\xa0data'}
2056,How to Connect to GCP Cloud SQL with Cloud SQL Auth Proxy in Docker,Learn a standard way to connect…,{'title': 'How to Connect to GCP Cloud SQL with Cloud SQL Auth Proxy in\xa0Docker Learn a standard way to\xa0connect…'}
2057,Schedule a Python script to run automatically on a Windows Desktop/Azure VM,Automatically refresh your…,{'title': 'Schedule a Python script to run automatically on a Windows Desktop/Azure VM Automatically refresh\xa0your…'}
2058,Practical MLOps using Azure ML,Automating ML pipelines using Azure ML CLI(v2) & github actions,{'title': 'Practical MLOps using Azure\xa0ML Automating ML pipelines using Azure ML CLI(v2) & github\xa0actions'}
2059,Add interactivity to your web apps with React,A Step-by-Step Guide to Develop a Map-Based Application…,{'title': 'Add interactivity to your web apps with\xa0React A Step-by-Step Guide to Develop a Map-Based Application…'}
2060,Linear Discriminant Analysis (LDA) Can Be So Easy,An Interactive Visualisation for You to Experiment…,{'title': 'Linear Discriminant Analysis (LDA) Can Be So\xa0Easy An Interactive Visualisation for You to Experiment…'}
2061,Advanced JavaScript Functions to Improve Code Quality,Enhance code quality with functions including…,{'title': 'Advanced JavaScript Functions to Improve Code\xa0Quality Enhance code quality with functions including…'}
2062,The Most Powerful Climate Data Remains Hidden,Climate data and models are far too often proprietary…,{'title': 'The Most Powerful Climate Data Remains\xa0Hidden Climate data and models are far too often proprietary…'}
2063,Solving Unity Environment with Deep Reinforcement Learning,End to End Project with code of a PyTorch…,{'title': 'Solving Unity Environment with Deep Reinforcement Learning End to End Project with code of a\xa0PyTorch…'}
2064,Book Review: Designing Machine Learning Systems,A book review and summary of Designing Machine…,{'title': 'Book Review: Designing Machine Learning\xa0Systems A book review and summary of Designing Machine…'}
2065,Sensitivity in Predictive Modeling: A Guide to Buying Paying Customers with Less Traffic,,{'title': 'Sensitivity in Predictive Modeling: A Guide to Buying Paying Customers with Less\xa0Traffic nan'}
2066,"Python enumerate() Function, Explained",In this article we will explore how to use the Python…,"{'title': 'Python enumerate() Function, Explained In this article we will explore how to use the\xa0Python…'}"
2067,Build an AI that answers questions based on user research data.,A guide to building an AI with a custom knowledge base using OpenAI API.,{'title': 'Build an AI that answers questions based on user research\xa0data. A guide to building an AI with a custom knowledge base using OpenAI\xa0API.'}
2068,Approaching AI takeover and how to remain relevant,Avoiding FOMO and building insight for enduring…,{'title': 'Approaching AI takeover and how to remain\xa0relevant Avoiding FOMO and building insight for enduring…'}
2069,Why No-Code tools are ready to disrupt,"With the right tools, we can close the gap between product and…","{'title': 'Why No-Code tools are ready to\xa0disrupt With the right tools, we can close the gap between product\xa0and…'}"
2070,"Hollywood UI, lessons of design, love letter to Figma, the UX of ADHD","<em class=""markup--em markup--h4-em"">Weekly curated resources for</em>","{'title': 'Hollywood UI, lessons of design, love letter to Figma, the UX of\xa0ADHD <em class=""markup--em markup--h4-em"">Weekly curated resources for</em>'}"
2071,9 Stupidly Killer Ways You Can Make Money With The Help of ChatGPT — No BS,I am making money with the…,{'title': '9 Stupidly Killer Ways You Can Make Money With The Help of ChatGPT\u200a—\u200aNo\xa0BS I am making money with\xa0the…'}
2072,3 Things Successful People Don’t Do,How you can reverse engineer success,{'title': '3 Things Successful People Don’t\xa0Do How you can reverse engineer\xa0success'}
2073,I've Been Growing My Site For 18 Months — Here's What I Achieved,You can grow your website and earn…,"{'title': ""I've Been Growing My Site For 18 Months\u200a—\u200aHere's What I\xa0Achieved You can grow your website and\xa0earn…""}"
2074,From Ordinary to Extraordinary: 4 Ways to Harness the Power of Unique Insights in Your Content,,{'title': 'From Ordinary to Extraordinary: 4 Ways to Harness the Power of Unique Insights in Your\xa0Content nan'}
2075,How Not To Get Replaced by AI?,It’s easier than you think,{'title': 'How Not To Get Replaced by\xa0AI? It’s easier than you\xa0think'}
2076,"<strong class=""markup--strong markup--h3-strong"">3 Things I Wished I Learned About Making Money Writing Online Before Going All In</strong>",Nothing beats…,"{'title': '<strong class=""markup--strong markup--h3-strong"">3 Things I Wished I Learned About Making Money Writing Online Before Going All\xa0In</strong> Nothing beats…'}"
2077,The Secret Reason Why Writers Will Fail At Marketing,,{'title': 'The Secret Reason Why Writers Will Fail At Marketing nan'}
2078,"Yes, You CAN Become a Better Writer",,"{'title': 'Yes, You CAN Become a Better\xa0Writer nan'}"
2079,From Imitation to Innovation: The Journey to Discovering Your Unique Writing Voice,It’s time to be yourself and unleash your imagination,{'title': 'From Imitation to Innovation: The Journey to Discovering Your Unique Writing\xa0Voice It’s time to be yourself and unleash your imagination'}
2080,Writer’s Creativity in Three Acts,"On narratives that entrap and enchant us, and then stick with us for…","{'title': 'Writer’s Creativity in Three\xa0Acts On narratives that entrap and enchant us, and then stick with us\xa0for…'}"
2081,The Unexpected Lesson I Learned From NaNoWriMo,My Take On Why It’s So Important To Win NaNoWriMo At…,{'title': 'The Unexpected Lesson I Learned From NaNoWriMo My Take On Why It’s So Important To Win NaNoWriMo At…'}
2082,"The Meaning Behind Logistic Classification, from Physics",Why do we use the logistic and softmax…,"{'title': 'The Meaning Behind Logistic Classification, from\xa0Physics Why do we use the logistic and\xa0softmax…'}"
2083,Introducing PyCircular: A Python Library for Circular Data Analysis,Circular data can present unique…,{'title': 'Introducing PyCircular: A Python Library for Circular Data\xa0Analysis Circular data can present\xa0unique…'}
2084,The Secret to Improved NLP: An In-Depth Look at the nn.Embedding Layer in PyTorch,Dissecting the…,{'title': 'The Secret to Improved NLP: An In-Depth Look at the nn.Embedding Layer in\xa0PyTorch Dissecting the…'}
2085,A Brief Introduction to Neural Networks: A Classification Problem,A practical beginner guide to Neural…,{'title': 'A Brief Introduction to Neural Networks: A Classification Problem A practical beginner guide to\xa0Neural…'}
2086,A step-by-step guide to develop a map-based application (Part I),The proof-of-concept — Build a…,{'title': 'A step-by-step guide to develop a map-based application (Part\xa0I) The proof-of-concept\u200a—\u200aBuild\xa0a…'}
2087,How to Use Micro-Credentials to Get Your Foot in the Door as a New Data Scientist,Micro-credentials…,{'title': 'How to Use Micro-Credentials to Get Your Foot in the Door as a New Data Scientist Micro-credentials…'}
2088,Fixing Prophet’s Forecasting Issue,Step 1: Constrain the Insane Trend,{'title': 'Fixing Prophet’s Forecasting Issue Step 1: Constrain the Insane\xa0Trend'}
2089,Dockerizing Apache Zeppelin and Apache Spark for Easy Deployment,Learn How To Build a Portable and…,{'title': 'Dockerizing Apache Zeppelin and Apache Spark for Easy Deployment Learn How To Build a Portable\xa0and…'}
2090,Easy Method of Edge Detection in OpenCV Python,Using Canny Edge Detection Efficiently,{'title': 'Easy Method of Edge Detection in OpenCV\xa0Python Using Canny Edge Detection Efficiently'}
2091,How to send tabular time series data to Apache Kafka with Python and Pandas,Use Python and Pandas to…,{'title': 'How to send tabular time series data to Apache Kafka with Python and\xa0Pandas Use Python and Pandas\xa0to…'}
2092,How to build a Shazam-like Telegram Bot using Python,A tutorial to create and deploy a telegram bot…,{'title': 'How to build a Shazam-like Telegram Bot using\xa0Python A tutorial to create and deploy a telegram\xa0bot…'}
2093,Anomaly Detection using Sigma Rules (Part 1): Leveraging Spark SQL Streaming,Sigma rules are used to…,{'title': 'Anomaly Detection using Sigma Rules (Part 1): Leveraging Spark SQL Streaming Sigma rules are used\xa0to…'}
2094,A Deep Dive into K-means for the Less Technophile,From clustering to algorithm: a journey in five steps,{'title': 'A Deep Dive into K-means for the Less Technophile From clustering to algorithm: a journey in five\xa0steps'}
